timestamp,hero_slug,rank,player_name,score,matches,player_id,ranked_matches,ranked_wins,ranked_mvps,ranked_svps,ranked_kills,ranked_deaths,ranked_assists,ranked_damage_given,ranked_damage_received,ranked_heal,ranked_playtime,matchup_matches,matchup_wins
2025-02-03T19:36:25.115870,iron-fist,1,EatingPizzaRn,5100,128,928830983,128,0,14,11,2475,979,9,1769788,1671025,73199,23h 4m 48s,23,7
2025-02-03T19:36:25.115870,iron-fist,2,Trixxul,5083,157,274138141,160,0,16,2,2896,959,5,1814687,1768927,87045,27h 19m 26s,16,9
2025-02-03T19:36:25.115870,iron-fist,3,FlameHimself,5056,52,317102906,53,0,7,0,1044,233,1,674414,528193,37811,10h 52m 53s,4,2
2025-02-03T19:36:25.115870,iron-fist,4,nooobil,4952,130,1222085887,134,0,11,18,2488,925,1,1613848,1486375,58158,23h 8m 43s,16,7
2025-02-03T19:36:25.115870,iron-fist,5,F1nna,4947,114,1917995309,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,6,<Shaman>,4936,153,85766536,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,7,Grapha,4930,75,175696963,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,8,一龙马,4916,30,841182043,30,0,3,1,511,164,0,342469,266562,16833,4h 41m 56s,4,0
2025-02-03T19:36:25.115870,iron-fist,9,shaNk9,4912,73,1803780037,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,10,rank 1 scholar,4900,71,1978990922,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,11,cookmynuts,4900,95,1228593190,99,0,7,10,2064,644,0,1194068,1113195,73487,19h 26m 51s,13,4
2025-02-03T19:36:25.115870,iron-fist,12,lronSoldier,4899,40,1579242338,42,0,7,5,776,296,2,554927,454924,19217,8h 22m 2s,10,6
2025-02-03T19:36:25.115870,iron-fist,13,ZEROONE_OW,4898,163,396308835,170,0,20,12,3710,1062,4,2047534,1650957,79808,30h 49m 22s,14,6
2025-02-03T19:36:25.115870,iron-fist,14,fusethakit,4887,33,1604363327,33,0,1,0,547,198,1,366217,348011,20449,5h 45m 41s,5,0
2025-02-03T19:36:25.115870,iron-fist,15,MoiJePensePas,4886,33,1783388612,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,16,ONEF0RALL,4886,53,906229940,54,0,8,1,1183,321,0,721001,591723,25962,9h 52m 55s,3,2
2025-02-03T19:36:25.115870,iron-fist,17,grgrgr,4875,45,2064681561,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,18,OhYeeeahVector,4861,44,179577364,44,0,5,2,890,343,3,514344,430619,29009,8h 19m 31s,5,2
2025-02-03T19:36:25.115870,iron-fist,19,LiquidOx,4859,175,1618136637,186,0,4,10,3229,966,3,1964758,1777515,105963,35h 15m 4s,17,9
2025-02-03T19:36:25.115870,iron-fist,20,0dpiash,4858,184,1266031855,187,0,21,15,4124,945,2,2096254,1594007,109844,32h 26m 6s,16,8
2025-02-03T19:36:25.115870,iron-fist,21,降雪,4850,45,1856514887,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,22,GothFishnets,4842,43,95004494,49,0,1,2,848,322,0,534104,487019,32000,9h 26m 28s,16,8
2025-02-03T19:36:25.115870,iron-fist,23,Xubiscleia,4840,68,37921486,77,0,5,12,1266,476,1,818646,797375,44175,13h 46m 20s,11,6
2025-02-03T19:36:25.115870,iron-fist,24,Samito,4839,61,93509637,61,0,5,1,1062,306,1,616610,592311,34063,10h 28m 0s,6,4
2025-02-03T19:36:25.115870,iron-fist,25,Xylius_,4839,54,414769296,54,0,2,1,729,283,0,496486,438754,28361,7h 58m 12s,11,4
2025-02-03T19:36:25.115870,iron-fist,26,Mudah_,4838,43,271832719,47,0,6,11,607,291,0,577557,572533,30396,8h 58m 47s,8,1
2025-02-03T19:36:25.115870,iron-fist,27,Genjitaliano,4836,229,1871878185,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,28,riggedaccount,4834,46,1113201916,46,0,3,3,607,324,0,490199,479935,45949,7h 59m 29s,32,13
2025-02-03T19:36:25.115870,iron-fist,29,saltylag,4827,50,50185800,50,0,9,5,1051,307,0,501402,355692,22232,8h 42m 1s,3,2
2025-02-03T19:36:25.115870,iron-fist,30,Dupaatv,4823,65,1139015837,66,0,5,2,1180,563,0,769953,776782,50429,13h 30m 16s,10,1
2025-02-03T19:36:25.115870,iron-fist,31,I Am Avenue,4822,142,2032939102,142,0,11,5,2323,579,4,1413750,1176586,60469,23h 46m 32s,13,7
2025-02-03T19:36:25.115870,iron-fist,32,JazonBref,4817,99,559295157,99,0,5,7,2058,603,0,1057438,930747,42607,18h 44m 8s,16,2
2025-02-03T19:36:25.115870,iron-fist,33,ClubJesus,4817,36,1294917198,36,0,2,6,541,241,1,427488,361331,18031,7h 47m 45s,9,6
2025-02-03T19:36:25.115870,iron-fist,34,Tamunokuro,4817,142,1020904298,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,35,BroLookinOhio,4816,43,1811151834,75,0,32,9,1928,439,2,941195,624043,50166,12h 52m 5s,7,2
2025-02-03T19:36:25.115870,iron-fist,36,Britt,4814,103,839418756,103,0,5,7,1730,662,1,1032941,972561,76142,19h 6m 3s,3,2
2025-02-03T19:36:25.115870,iron-fist,37,KirikoFeetLovr,4812,59,338463065,59,0,5,6,1013,379,7,797021,710060,36259,11h 24m 10s,14,8
2025-02-03T19:36:25.115870,iron-fist,38,우리동네특공대,4811,177,1368509040,191,0,32,18,3885,1104,1,2001127,1674375,111372,31h 9m 51s,12,4
2025-02-03T19:36:25.115870,iron-fist,39,ROOFROOFROOF,4809,104,112319457,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:36:25.115870,iron-fist,40,Dоctor Strange,4808,106,1708110828,106,0,8,16,1903,742,2,1297651,1027958,73117,20h 27m 36s,14,4
2025-02-03T19:36:25.115870,iron-fist,41,MakaVL,4807,171,811452076,175,0,11,7,3060,1255,5,1818405,1730327,114622,33h 18m 36s,8,4
2025-02-03T19:36:25.115870,iron-fist,42,AIM GOAT,4805,74,374191175,74,0,7,8,1554,718,1,1043463,1040653,43801,15h 29m 6s,11,4
