timestamp,hero_slug,rank,player_name,score,matches,player_id,ranked_matches,ranked_wins,ranked_mvps,ranked_svps,ranked_kills,ranked_deaths,ranked_assists,ranked_damage_given,ranked_damage_received,ranked_heal,ranked_playtime,matchup_matches,matchup_wins
2025-02-03T19:25:42.812364,adam-warlock,1,Karova,5213,34,1710082533,34,0,0,0,576,206,150,500525,310006,410003,6h 14m 43s,13,3
2025-02-03T19:25:42.812364,adam-warlock,2,Brón,5192,77,1434800153,77,0,19,0,1334,510,675,985228,832810,1278311,14h 23m 16s,23,7
2025-02-03T19:25:42.812364,adam-warlock,3,AŠA,5174,53,893711973,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,4,onlylegs,5131,145,1964298369,145,0,2,3,1764,797,1090,1362595,1138348,2044026,26h 16m 7s,41,16
2025-02-03T19:25:42.812364,adam-warlock,5,ｓｅａｌluvr７,5129,32,1560512070,32,0,6,3,566,233,207,345118,304035,410306,5h 34m 43s,21,7
2025-02-03T19:25:42.812364,adam-warlock,6,KJewls,5096,44,1309800931,44,0,0,4,637,305,318,496092,465757,626439,7h 39m 54s,48,26
2025-02-03T19:25:42.812364,adam-warlock,7,Slid1,5042,33,1615678056,35,0,2,1,361,133,244,355904,278992,580517,6h 28m 46s,8,2
2025-02-03T19:25:42.812364,adam-warlock,8,MAR丨HEAVEN,5016,31,992147989,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,9,NTTA,5010,30,1644829839,30,0,1,0,497,195,297,374463,264763,453039,5h 8m 42s,14,2
2025-02-03T19:25:42.812364,adam-warlock,10,ˇLuuˇ,5009,32,1565953602,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,11,WolfGangFultz,5007,123,403798538,123,0,11,7,1949,790,828,1462981,989315,1605425,20h 46m 32s,54,22
2025-02-03T19:25:42.812364,adam-warlock,12,IM JAZZY,4996,54,1748983665,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,13,SUPERKADE,4993,34,336856343,34,0,2,2,328,197,291,288942,302860,543716,5h 53m 57s,19,8
2025-02-03T19:25:42.812364,adam-warlock,14,Gilbert Noodle,4989,94,1781451632,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,15,Reptile1,4956,42,1906560906,42,0,0,2,486,199,331,430521,376598,654403,7h 19m 34s,30,10
2025-02-03T19:25:42.812364,adam-warlock,16,BeheMoth202,4955,54,1426303495,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,17,Magicsloth,4946,32,1513911362,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,18,Pizzatoast,4944,190,959653256,194,0,6,10,2492,1258,1994,1603645,1554216,2893864,33h 42m 33s,20,10
2025-02-03T19:25:42.812364,adam-warlock,19,Theury,4941,36,673717705,36,0,2,1,481,203,328,417358,242645,553016,6h 11m 31s,8,2
2025-02-03T19:25:42.812364,adam-warlock,20,Pierrg,4937,32,332001348,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,21,Minhjitsu,4923,43,1177556185,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,22,Benjer8,4914,90,934961262,94,0,4,4,1362,726,884,926862,937122,1445769,18h 0m 50s,21,6
2025-02-03T19:25:42.812364,adam-warlock,23,ExodionPanda,4913,74,1073242038,75,0,4,3,1030,478,602,733164,639562,1107711,12h 39m 46s,18,10
2025-02-03T19:25:42.812364,adam-warlock,24,qisu,4902,47,2059439941,47,0,5,3,692,285,451,501660,407466,775476,8h 12m 7s,15,3
2025-02-03T19:25:42.812364,adam-warlock,25,Mumanji,4899,45,1708895523,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,26,Nurag,4897,135,472689616,138,0,18,11,2275,1093,1059,1432757,1231532,1961952,24h 36m 40s,15,7
2025-02-03T19:25:42.812364,adam-warlock,27,Tigerdrop,4894,140,1968831049,140,0,11,14,2007,967,974,1609538,1297072,2030029,24h 58m 39s,13,2
2025-02-03T19:25:42.812364,adam-warlock,28,Korex,4890,178,1223591075,178,0,8,9,2596,1026,1145,1845984,1628390,2343025,29h 55m 34s,46,21
2025-02-03T19:25:42.812364,adam-warlock,29,LumiPoo,4883,61,987729851,61,0,2,0,895,541,536,694456,689928,892942,12h 4m 14s,16,5
2025-02-03T19:25:42.812364,adam-warlock,30,Feedrick,4863,53,795320054,53,0,1,1,567,300,529,450755,495656,965368,10h 40m 41s,8,3
2025-02-03T19:25:42.812364,adam-warlock,31,DanielFenner,4861,41,1716207193,44,0,0,2,412,241,368,370010,312963,691998,8h 1m 35s,20,9
2025-02-03T19:25:42.812364,adam-warlock,32,HoldingM2,4856,30,1927809807,30,0,0,1,304,189,308,231673,199726,454669,5h 24m 48s,18,8
2025-02-03T19:25:42.812364,adam-warlock,33,Temezi1337,4856,35,1059418724,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,34,iJRP,4854,39,1055262164,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,35,OW_Neil,4843,39,673821223,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,36,GothFishnets,4842,56,95004494,56,0,1,0,592,341,523,486454,455784,810091,9h 18m 47s,16,9
2025-02-03T19:25:42.812364,adam-warlock,37,PMAJellies,4837,43,1498573163,43,0,0,0,387,190,334,359853,345467,669956,7h 31m 14s,27,15
2025-02-03T19:25:42.812364,adam-warlock,38,Mehrsaa,4836,31,2005613144,31,0,0,0,242,166,209,288418,288145,463826,5h 38m 57s,23,13
2025-02-03T19:25:42.812364,adam-warlock,39,ROCKETorDODGE,4832,38,960092075,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,40,ˢˣ,4826,154,1505079047,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:42.812364,adam-warlock,41,Speed4002,4824,118,1394414860,118,0,8,5,1754,709,1283,1355816,967900,2104713,22h 28m 8s,5,2
2025-02-03T19:25:42.812364,adam-warlock,42,kaka2009______,4821,57,1561816834,57,0,6,10,874,438,516,688366,528459,1001135,10h 18m 6s,35,15
2025-02-03T19:25:42.812364,adam-warlock,43,Joshuã,4818,34,1543219398,34,0,1,3,388,225,316,362353,331418,648452,7h 14m 14s,9,2
