timestamp,hero_slug,rank,player_name,score,matches,player_id,ranked_matches,ranked_wins,ranked_mvps,ranked_svps,ranked_kills,ranked_deaths,ranked_assists,ranked_damage_given,ranked_damage_received,ranked_heal,ranked_playtime,matchup_matches,matchup_wins
2025-02-03T19:24:32.840980,groot,1,Vìnnie,5298,90,1048390571,90,0,20,10,2365,377,0,2481003,4753942,0,20h 9m 36s,57,28
2025-02-03T19:24:32.840980,groot,2,dongmin,5282,30,571911194,30,0,9,2,629,141,1,659548,1602011,0,5h 53m 7s,57,23
2025-02-03T19:24:32.840980,groot,3,iRemiix,5241,134,1176469067,134,0,19,9,2686,690,7,2660223,6513232,0,25h 14m 14s,77,39
2025-02-03T19:24:32.840980,groot,4,NLE CHOPPA,5225,32,812840743,32,0,2,0,626,174,2,702598,1770681,0,6h 59m 57s,90,47
2025-02-03T19:24:32.840980,groot,5,Blaxou,5213,68,791706939,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:24:32.840980,groot,6,Impunity,5208,47,1290955273,47,0,3,3,1078,209,0,997094,2219953,0,8h 43m 10s,26,11
2025-02-03T19:24:32.840980,groot,7,VinnieLaGOON,5189,30,905224744,30,0,8,3,712,87,0,649294,1183596,0,5h 14m 35s,20,8
2025-02-03T19:24:32.840980,groot,8,Blaxou2,5183,86,679158951,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:24:32.840980,groot,9,SparkChief,5115,38,616643254,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:24:32.840980,groot,10,søkø,5114,37,1069942110,37,0,7,6,710,154,1,687784,1436950,0,5h 34m 46s,39,19
2025-02-03T19:24:32.840980,groot,11,burnerpyro,5109,85,1216128626,85,0,4,8,1505,356,5,1498934,4234838,0,15h 44m 29s,50,22
2025-02-03T19:24:32.840980,groot,12,CO2Madara,5108,33,351988877,33,0,6,4,669,136,2,764210,1791515,0,6h 45m 44s,50,19
2025-02-03T19:24:32.840980,groot,13,Haluk,5095,47,1932234672,48,0,9,4,1006,213,4,955837,2066706,0,8h 28m 5s,47,20
2025-02-03T19:24:32.840980,groot,14,Wiiz,5085,84,1046837433,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:24:32.840980,groot,15,Lurk3n,5079,64,402266705,64,0,2,2,1166,419,34,974912,3094954,0,10h 27m 1s,41,20
2025-02-03T19:24:32.840980,groot,16,kākarere,5079,132,2036268302,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:24:32.840980,groot,17,BigJhonson29,5074,122,265145932,122,0,42,12,2632,566,3,2189580,5015001,0,21h 3m 39s,40,15
