timestamp,hero_slug,rank,player_name,score,matches,player_id,ranked_matches,ranked_wins,ranked_mvps,ranked_svps,ranked_kills,ranked_deaths,ranked_assists,ranked_damage_given,ranked_damage_received,ranked_heal,ranked_playtime,matchup_matches,matchup_wins
2025-02-03T19:25:31.734585,peni-parker,1,TTVCringeAlarm,5112,110,485508210,110,0,2,2,1868,423,2,1522902,2240155,274263,18h 39m 2s,6,2
2025-02-03T19:25:31.734585,peni-parker,2,Eshego,4953,264,1593362161,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,3,TempestVF,4947,90,1160938241,90,0,14,17,1446,372,2,1726639,2428847,218684,18h 9m 26s,18,9
2025-02-03T19:25:31.734585,peni-parker,4,ICrimsonix,4886,34,1554422468,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,5,FullMetalLamps,4882,159,95209077,159,0,10,4,3154,1015,9,2556820,4096542,448045,28h 33m 20s,7,2
2025-02-03T19:25:31.734585,peni-parker,6,DaringOrange08,4882,44,1285124395,44,0,5,1,706,207,1,706766,1041757,65135,7h 56m 53s,47,23
2025-02-03T19:25:31.734585,peni-parker,7,Damiеn,4870,30,1457056057,31,0,1,2,392,89,2,682207,898585,91230,7h 49m 11s,10,2
2025-02-03T19:25:31.734585,peni-parker,8,Shizenjin,4869,102,451346634,102,0,2,2,1463,444,2,1820269,2958436,293086,21h 52m 9s,14,6
2025-02-03T19:25:31.734585,peni-parker,9,Khlex,4869,51,754005157,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,10,HeHeBoooy,4847,32,946524791,32,0,3,1,577,101,1,527869,771531,80659,4h 11m 40s,23,12
2025-02-03T19:25:31.734585,peni-parker,11,Polyphemus,4840,194,294980480,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,12,Sakaroob,4834,34,29380049,34,0,2,1,551,100,0,495514,718310,55278,5h 22m 49s,3,1
2025-02-03T19:25:31.734585,peni-parker,13,PeakInBoots,4832,70,1913715729,73,0,2,4,1062,448,2,994331,1796692,222044,14h 54m 39s,21,9
2025-02-03T19:25:31.734585,peni-parker,14,hikari77777777,4830,169,678703850,173,0,21,15,3805,693,4,3237824,4050890,427632,32h 35m 59s,20,8
2025-02-03T19:25:31.734585,peni-parker,15,thepigeon12,4822,50,1274990494,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,16,Melalonin,4817,35,1892978091,35,0,2,3,494,149,1,559411,862738,62226,6h 49m 14s,23,5
2025-02-03T19:25:31.734585,peni-parker,17,pvpoomv,4816,304,2067905173,304,0,16,29,5993,1477,13,5155526,6830840,834613,59h 32m 32s,24,9
2025-02-03T19:25:31.734585,peni-parker,18,ButteryFatGuy,4814,30,1895967442,31,0,2,2,610,193,1,572310,963292,75108,6h 10m 46s,12,6
2025-02-03T19:25:31.734585,peni-parker,19,Ntchwaidumela,4813,170,197157846,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,20,Wolfathan,4811,90,2062269145,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,21,AlekayG,4810,161,613205542,162,0,9,5,2790,1006,4,2314680,3656853,320661,30h 44m 48s,15,4
2025-02-03T19:25:31.734585,peni-parker,22,Dоctor Strange,4808,185,1708110828,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,23,ぽむせいどん,4804,103,889433869,103,0,8,1,1864,467,4,1597472,2353966,253593,17h 8m 42s,10,5
2025-02-03T19:25:31.734585,peni-parker,24,UGKForLife,4803,75,800129034,75,0,13,2,1475,240,5,1446497,2001676,185952,14h 48m 50s,7,2
2025-02-03T19:25:31.734585,peni-parker,25,Cherie Blossom,4801,36,165562098,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,26,Premo,4798,152,2037012115,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,27,Messy2Pro,4784,358,1557451203,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,28,iAMspecials,4774,173,1020636812,173,0,9,10,3323,813,3,3087419,3995824,314616,29h 35m 42s,27,10
2025-02-03T19:25:31.734585,peni-parker,29,TTV plexzor_,4769,56,784426200,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:25:31.734585,peni-parker,30,qtup,4765,84,1911723548,85,0,9,7,1573,384,4,1227820,1844358,194551,13h 47m 10s,9,2
2025-02-03T19:25:31.734585,peni-parker,31,Cartyi,4764,43,739161806,43,0,1,3,673,209,0,694617,1081946,91968,7h 22m 15s,25,9
2025-02-03T19:25:31.734585,peni-parker,32,CE0BLASTER9000,4763,102,1248240527,104,0,2,7,1533,387,2,1663847,2195536,223226,18h 54m 23s,25,9
2025-02-03T19:25:31.734585,peni-parker,33,Kusti,4756,143,849261801,146,0,8,11,2657,838,4,2242487,3514283,358338,26h 34m 26s,16,5
2025-02-03T19:25:31.734585,peni-parker,34,CandyBlueSky,4751,50,20474370,50,0,0,0,834,295,0,779913,1179058,137653,11h 11m 44s,26,11
2025-02-03T19:25:31.734585,peni-parker,35,SłodkiMichał,4748,125,911667708,125,0,6,6,2101,633,4,1827379,2530549,184437,20h 46m 10s,56,30
