timestamp,hero_slug,rank,player_name,score,matches,player_id,ranked_matches,ranked_wins,ranked_mvps,ranked_svps,ranked_kills,ranked_deaths,ranked_assists,ranked_damage_given,ranked_damage_received,ranked_heal,ranked_playtime,matchup_matches,matchup_wins
2025-02-03T19:11:57.028481,the-punisher,1,bedtime5tory,5168,112,1988565808,112,0,63,8,2705,504,0,3476338,1289202,0,20h 7m 7s,64,22
2025-02-03T19:11:57.028481,the-punisher,2,Doly,5113,71,1054211722,71,0,30,15,1760,557,6,1747297,1113837,0,12h 36m 44s,52,17
2025-02-03T19:11:57.028481,the-punisher,3,EatingPizzaRn,5100,44,928830983,44,0,1,6,759,277,1,1102782,677315,0,7h 54m 9s,86,40
2025-02-03T19:11:57.028481,the-punisher,4,Knuten,5091,38,1626846043,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,5,manually,5086,32,289579190,32,0,14,3,725,196,0,912192,448412,0,6h 8m 14s,26,8
2025-02-03T19:11:57.028481,the-punisher,6,GUCKFALEE,5057,68,1701661468,68,0,28,15,1512,371,1,1817410,860606,0,12h 16m 41s,28,10
2025-02-03T19:11:57.028481,the-punisher,7,Josh369,5043,70,1886301703,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,8,KssarPlayz,5039,34,1873065978,34,0,14,6,733,225,2,1025163,480047,0,6h 37m 16s,23,5
2025-02-03T19:11:57.028481,the-punisher,9,AGLIGHTS,5033,57,571885485,57,0,17,2,1302,388,0,1514324,769940,0,10h 5m 43s,47,17
2025-02-03T19:11:57.028481,the-punisher,10,juiscy,5028,128,877855446,128,0,37,13,3008,965,1,2963569,1543690,0,22h 4m 22s,51,23
2025-02-03T19:11:57.028481,the-punisher,11,BOGARDSIGMA123,5017,35,2098765298,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,12,MAR丨HEAVEN,5016,42,992147989,42,0,22,5,1032,204,0,1077208,373776,0,7h 10m 49s,33,12
2025-02-03T19:11:57.028481,the-punisher,13,I.LoveBlondes,5015,41,709961717,41,0,4,4,871,283,2,968669,430932,0,7h 32m 13s,110,47
2025-02-03T19:11:57.028481,the-punisher,14,m4rch,5012,31,1622743987,31,0,5,2,566,233,0,831039,473303,0,5h 48m 55s,70,23
2025-02-03T19:11:57.028481,the-punisher,15,IBeNO0,5004,57,337845027,57,0,13,5,1048,351,4,1191109,664493,0,9h 33m 12s,53,20
2025-02-03T19:11:57.028481,the-punisher,16,Wakanda-Foreva,5002,46,1790398222,46,0,9,8,1062,321,0,1163457,585485,0,9h 59m 50s,43,18
2025-02-03T19:11:57.028481,the-punisher,17,thanos aura,5001,136,1579089340,138,0,29,23,3032,1111,2,3167691,1897815,0,25h 15m 43s,61,22
2025-02-03T19:11:57.028481,the-punisher,18,Fleta2,4999,78,559175581,80,0,37,29,1801,617,0,2083914,918755,0,14h 44m 52s,51,24
2025-02-03T19:11:57.028481,the-punisher,19,Atrosty,4998,46,1977949907,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,20,enomese,4967,46,1099374403,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,21,LewNotSerious,4966,36,871116073,36,0,9,6,870,280,2,960569,587156,0,8h 20m 39s,75,33
2025-02-03T19:11:57.028481,the-punisher,22,DevHigh,4961,37,1173043622,37,0,12,11,813,337,1,1022758,776268,0,8h 23m 29s,56,19
2025-02-03T19:11:57.028481,the-punisher,23,0423tty,4951,161,1151710842,161,0,58,30,3892,1479,0,3860946,2380230,0,28h 33m 35s,44,14
2025-02-03T19:11:57.028481,the-punisher,24,donkeykid123,4947,110,2130678597,110,0,31,15,2667,992,0,2524430,1543746,0,20h 19m 12s,36,15
2025-02-03T19:11:57.028481,the-punisher,25,notBubbaa,4944,181,1779544886,195,0,27,22,4209,1702,0,4170843,2376814,0,35h 22m 56s,43,14
2025-02-03T19:11:57.028481,the-punisher,26,z i a,4944,79,1358232719,80,0,23,19,1942,790,0,1846712,1168699,0,15h 10m 41s,25,13
2025-02-03T19:11:57.028481,the-punisher,27,Kehnys,4943,45,917875476,47,0,16,3,998,349,1,1033472,595058,0,8h 41m 1s,74,39
2025-02-03T19:11:57.028481,the-punisher,28,mue,4942,76,1494848578,76,0,22,18,1825,694,2,1789760,1136010,0,15h 45m 59s,70,29
2025-02-03T19:11:57.028481,the-punisher,29,Nokokopuffs,4940,51,627026732,51,0,15,2,925,317,0,1175188,773922,0,9h 3m 56s,74,34
2025-02-03T19:11:57.028481,the-punisher,30,-ㅅ-マ,4937,38,341116662,38,0,11,5,792,271,0,866684,424864,0,7h 33m 30s,24,11
2025-02-03T19:11:57.028481,the-punisher,31,rqqz,4937,59,1692729847,59,0,19,10,1287,432,6,1391558,770886,0,10h 7m 40s,48,22
2025-02-03T19:11:57.028481,the-punisher,32,Redrum3,4936,111,933880801,113,0,26,14,2363,715,0,2327920,1434798,0,18h 30m 22s,39,17
2025-02-03T19:11:57.028481,the-punisher,33,halino,4934,97,309009275,97,0,35,12,2134,727,0,2208302,1338548,0,17h 11m 36s,43,19
2025-02-03T19:11:57.028481,the-punisher,34,Shabadubie,4932,116,2006485428,117,0,45,20,2812,895,2,2544243,1353497,0,19h 59m 42s,58,24
2025-02-03T19:11:57.028481,the-punisher,35,lobbyyy,4931,64,2006105335,64,0,27,7,1436,389,3,1258307,578543,0,10h 44m 32s,34,7
2025-02-03T19:11:57.028481,the-punisher,36,EloTerrorist96,4931,31,5447516,31,0,10,5,724,236,0,649707,245787,0,4h 56m 12s,41,14
2025-02-03T19:11:57.028481,the-punisher,37,Rakta,4931,136,339638122,136,0,31,21,3003,959,1,3238122,1874224,0,26h 35m 34s,76,33
2025-02-03T19:11:57.028481,the-punisher,38,Lolequn,4929,178,1062227272,178,0,43,15,3709,1254,2,3993171,2424055,0,31h 14m 39s,49,19
2025-02-03T19:11:57.028481,the-punisher,39,cardin,4927,30,649559192,30,0,12,5,770,234,0,708125,410599,0,5h 32m 42s,18,4
2025-02-03T19:11:57.028481,the-punisher,40,111FRIEREN,4926,32,1964123006,33,0,7,6,682,275,0,899992,564749,0,7h 23m 7s,38,12
2025-02-03T19:11:57.028481,the-punisher,41,Fleta,4924,50,1898726871,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,42,sn1pamasta2013,4924,123,673796102,123,0,27,20,2620,1333,3,2604410,1772491,0,22h 43m 41s,48,11
2025-02-03T19:11:57.028481,the-punisher,43,00Rust,4923,126,720505106,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,44,7Dyn,4919,31,1133082396,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,45,Ihwaaa,4917,30,1085991076,30,0,12,11,739,312,3,835704,516079,0,6h 26m 16s,51,25
2025-02-03T19:11:57.028481,the-punisher,46,-Erik Magnus-,4917,39,1795475763,39,0,11,6,800,290,0,859424,509100,0,6h 29m 29s,33,11
2025-02-03T19:11:57.028481,the-punisher,47,Siegellz,4917,30,85363062,30,0,5,6,597,271,0,580951,331353,0,4h 53m 29s,62,25
2025-02-03T19:11:57.028481,the-punisher,48,ABG FEIN,4916,108,712664060,108,0,30,15,2201,626,0,2478738,1521845,0,18h 40m 56s,77,35
2025-02-03T19:11:57.028481,the-punisher,49,canisendnudes,4915,49,1638284089,0,0,0,0,0,0,0,0,0,0,0s,0,0
2025-02-03T19:11:57.028481,the-punisher,50,immrusty,4914,79,1896168942,83,0,27,12,1684,599,1,2180573,1280392,0,17h 7m 37s,105,41
2025-02-03T19:11:57.028481,the-punisher,51,Sprytom,4914,38,2139423463,38,0,13,5,866,247,0,862102,381941,0,6h 52m 58s,31,8
2025-02-03T19:11:57.028481,the-punisher,52,岩石,4911,38,2001154238,38,0,7,9,727,281,0,920761,569352,0,7h 20m 14s,48,15
2025-02-03T19:11:57.028481,the-punisher,53,smah47,4911,33,1369366006,33,0,13,6,916,243,0,792287,374643,0,5h 20m 35s,13,5
