timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:16.832811,black-panther,pc,quickplay,all,3.39,49.17
2025-02-03T19:35:16.832811,black-panther,pc,competitive,all,3.48,52.60
2025-02-03T19:35:16.832811,black-panther,pc,competitive,bronze,2.51,52.88
2025-02-03T19:35:16.832811,black-panther,pc,competitive,diamond,5.36,52.63
2025-02-03T19:35:16.832811,black-panther,pc,competitive,gold,4.25,52.30
2025-02-03T19:35:16.832811,black-panther,pc,competitive,grandmaster and above,5.76,52.34
2025-02-03T19:35:16.832811,black-panther,pc,competitive,platinum,4.86,52.33
2025-02-03T19:35:16.832811,black-panther,pc,competitive,silver,3.33,52.72
2025-02-03T19:35:16.832811,black-panther,console,quickplay,all,3.39,49.17
2025-02-03T19:35:16.832811,black-panther,console,competitive,all,3.08,52.25
2025-02-03T19:35:16.832811,black-panther,console,competitive,bronze,2.24,50.90
2025-02-03T19:35:16.832811,black-panther,console,competitive,diamond,5.00,53.70
2025-02-03T19:35:16.832811,black-panther,console,competitive,gold,3.68,52.68
2025-02-03T19:35:16.832811,black-panther,console,competitive,grandmaster and above,5.79,53.38
2025-02-03T19:35:16.832811,black-panther,console,competitive,platinum,4.26,53.13
2025-02-03T19:35:16.832811,black-panther,console,competitive,silver,2.84,52.14
2025-02-04T02:13:09.943145,black-panther,pc,quickplay,all,3.39,49.17
2025-02-04T02:13:09.943145,black-panther,pc,competitive,all,3.48,52.60
2025-02-04T02:13:09.943145,black-panther,pc,competitive,bronze,2.51,52.88
2025-02-04T02:13:09.943145,black-panther,pc,competitive,diamond,5.36,52.63
2025-02-04T02:13:09.943145,black-panther,pc,competitive,gold,4.25,52.30
2025-02-04T02:13:09.943145,black-panther,pc,competitive,grandmaster and above,5.76,52.34
2025-02-04T02:13:09.943145,black-panther,pc,competitive,platinum,4.86,52.33
2025-02-04T02:13:09.943145,black-panther,pc,competitive,silver,3.33,52.72
2025-02-04T02:13:09.943145,black-panther,console,quickplay,all,3.39,49.17
2025-02-04T02:13:09.943145,black-panther,console,competitive,all,3.08,52.25
2025-02-04T02:13:09.943145,black-panther,console,competitive,bronze,2.24,50.90
2025-02-04T02:13:09.943145,black-panther,console,competitive,diamond,5.00,53.70
2025-02-04T02:13:09.943145,black-panther,console,competitive,gold,3.68,52.68
2025-02-04T02:13:09.943145,black-panther,console,competitive,grandmaster and above,5.79,53.38
2025-02-04T02:13:09.943145,black-panther,console,competitive,platinum,4.26,53.13
2025-02-04T02:13:09.943145,black-panther,console,competitive,silver,2.84,52.14
2025-02-05T02:14:24.864112,black-panther,pc,quickplay,all,3.39,49.17
2025-02-05T02:14:24.864112,black-panther,pc,competitive,all,3.48,52.60
2025-02-05T02:14:24.864112,black-panther,pc,competitive,bronze,2.51,52.88
2025-02-05T02:14:24.864112,black-panther,pc,competitive,diamond,5.36,52.63
2025-02-05T02:14:24.864112,black-panther,pc,competitive,gold,4.25,52.30
2025-02-05T02:14:24.864112,black-panther,pc,competitive,grandmaster and above,5.76,52.34
2025-02-05T02:14:24.864112,black-panther,pc,competitive,platinum,4.86,52.33
2025-02-05T02:14:24.864112,black-panther,pc,competitive,silver,3.33,52.72
2025-02-05T02:14:24.864112,black-panther,console,quickplay,all,3.39,49.17
2025-02-05T02:14:24.864112,black-panther,console,competitive,all,3.08,52.25
2025-02-05T02:14:24.864112,black-panther,console,competitive,bronze,2.24,50.90
2025-02-05T02:14:24.864112,black-panther,console,competitive,diamond,5.00,53.70
2025-02-05T02:14:24.864112,black-panther,console,competitive,gold,3.68,52.68
2025-02-05T02:14:24.864112,black-panther,console,competitive,grandmaster and above,5.79,53.38
2025-02-05T02:14:24.864112,black-panther,console,competitive,platinum,4.26,53.13
2025-02-05T02:14:24.864112,black-panther,console,competitive,silver,2.84,52.14
2025-02-06T02:14:53.521553,black-panther,pc,quickplay,all,3.39,49.17
2025-02-06T02:14:53.521553,black-panther,pc,competitive,all,3.48,52.60
2025-02-06T02:14:53.521553,black-panther,pc,competitive,bronze,2.51,52.88
2025-02-06T02:14:53.521553,black-panther,pc,competitive,diamond,5.36,52.63
2025-02-06T02:14:53.521553,black-panther,pc,competitive,gold,4.25,52.30
2025-02-06T02:14:53.521553,black-panther,pc,competitive,grandmaster and above,5.76,52.34
2025-02-06T02:14:53.521553,black-panther,pc,competitive,platinum,4.86,52.33
2025-02-06T02:14:53.521553,black-panther,pc,competitive,silver,3.33,52.72
2025-02-06T02:14:53.521553,black-panther,console,quickplay,all,3.39,49.17
2025-02-06T02:14:53.521553,black-panther,console,competitive,all,3.08,52.25
2025-02-06T02:14:53.521553,black-panther,console,competitive,bronze,2.24,50.90
2025-02-06T02:14:53.521553,black-panther,console,competitive,diamond,5.00,53.70
2025-02-06T02:14:53.521553,black-panther,console,competitive,gold,3.68,52.68
2025-02-06T02:14:53.521553,black-panther,console,competitive,grandmaster and above,5.79,53.38
2025-02-06T02:14:53.521553,black-panther,console,competitive,platinum,4.26,53.13
2025-02-06T02:14:53.521553,black-panther,console,competitive,silver,2.84,52.14
