timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:16.285668,cloak-dagger,pc,quickplay,all,18.81,50.20
2025-02-03T19:35:16.285668,cloak-dagger,pc,competitive,all,20.58,46.68
2025-02-03T19:35:16.285668,cloak-dagger,pc,competitive,bronze,21.04,48.29
2025-02-03T19:35:16.285668,cloak-dagger,pc,competitive,diamond,18.59,44.15
2025-02-03T19:35:16.285668,cloak-dagger,pc,competitive,gold,20.48,45.74
2025-02-03T19:35:16.285668,cloak-dagger,pc,competitive,grandmaster and above,15.93,43.18
2025-02-03T19:35:16.285668,cloak-dagger,pc,competitive,platinum,19.05,44.65
2025-02-03T19:35:16.285668,cloak-dagger,pc,competitive,silver,21.30,46.84
2025-02-03T19:35:16.285668,cloak-dagger,console,quickplay,all,18.81,50.20
2025-02-03T19:35:16.285668,cloak-dagger,console,competitive,all,26.04,48.54
2025-02-03T19:35:16.285668,cloak-dagger,console,competitive,bronze,24.97,50.08
2025-02-03T19:35:16.285668,cloak-dagger,console,competitive,diamond,26.73,46.69
2025-02-03T19:35:16.285668,cloak-dagger,console,competitive,gold,26.60,47.81
2025-02-03T19:35:16.285668,cloak-dagger,console,competitive,grandmaster and above,26.08,46.07
2025-02-03T19:35:16.285668,cloak-dagger,console,competitive,platinum,26.60,47.14
2025-02-03T19:35:16.285668,cloak-dagger,console,competitive,silver,26.40,48.61
2025-02-04T02:13:03.666610,cloak-dagger,pc,quickplay,all,18.81,50.20
2025-02-04T02:13:03.666610,cloak-dagger,pc,competitive,all,20.58,46.68
2025-02-04T02:13:03.666610,cloak-dagger,pc,competitive,bronze,21.04,48.29
2025-02-04T02:13:03.666610,cloak-dagger,pc,competitive,diamond,18.59,44.15
2025-02-04T02:13:03.666610,cloak-dagger,pc,competitive,gold,20.48,45.74
2025-02-04T02:13:03.666610,cloak-dagger,pc,competitive,grandmaster and above,15.93,43.18
2025-02-04T02:13:03.666610,cloak-dagger,pc,competitive,platinum,19.05,44.65
2025-02-04T02:13:03.666610,cloak-dagger,pc,competitive,silver,21.30,46.84
2025-02-04T02:13:03.666610,cloak-dagger,console,quickplay,all,18.81,50.20
2025-02-04T02:13:03.666610,cloak-dagger,console,competitive,all,26.04,48.54
2025-02-04T02:13:03.666610,cloak-dagger,console,competitive,bronze,24.97,50.08
2025-02-04T02:13:03.666610,cloak-dagger,console,competitive,diamond,26.73,46.69
2025-02-04T02:13:03.666610,cloak-dagger,console,competitive,gold,26.60,47.81
2025-02-04T02:13:03.666610,cloak-dagger,console,competitive,grandmaster and above,26.08,46.07
2025-02-04T02:13:03.666610,cloak-dagger,console,competitive,platinum,26.60,47.14
2025-02-04T02:13:03.666610,cloak-dagger,console,competitive,silver,26.40,48.61
2025-02-05T02:14:18.376320,cloak-dagger,pc,quickplay,all,18.81,50.20
2025-02-05T02:14:18.376320,cloak-dagger,pc,competitive,all,20.58,46.68
2025-02-05T02:14:18.376320,cloak-dagger,pc,competitive,bronze,21.04,48.29
2025-02-05T02:14:18.376320,cloak-dagger,pc,competitive,diamond,18.59,44.15
2025-02-05T02:14:18.376320,cloak-dagger,pc,competitive,gold,20.48,45.74
2025-02-05T02:14:18.376320,cloak-dagger,pc,competitive,grandmaster and above,15.93,43.18
2025-02-05T02:14:18.376320,cloak-dagger,pc,competitive,platinum,19.05,44.65
2025-02-05T02:14:18.376320,cloak-dagger,pc,competitive,silver,21.30,46.84
2025-02-05T02:14:18.376320,cloak-dagger,console,quickplay,all,18.81,50.20
2025-02-05T02:14:18.376320,cloak-dagger,console,competitive,all,26.04,48.54
2025-02-05T02:14:18.376320,cloak-dagger,console,competitive,bronze,24.97,50.08
2025-02-05T02:14:18.376320,cloak-dagger,console,competitive,diamond,26.73,46.69
2025-02-05T02:14:18.376320,cloak-dagger,console,competitive,gold,26.60,47.81
2025-02-05T02:14:18.376320,cloak-dagger,console,competitive,grandmaster and above,26.08,46.07
