timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:34:58.739538,doctor-strange,pc,quickplay,all,12.52,49.05
2025-02-03T19:34:58.739538,doctor-strange,pc,competitive,all,19.29,50.79
2025-02-03T19:34:58.739538,doctor-strange,pc,competitive,bronze,13.38,49.82
2025-02-03T19:34:58.739538,doctor-strange,pc,competitive,diamond,30.15,51.82
2025-02-03T19:34:58.739538,doctor-strange,pc,competitive,gold,21.85,51.02
2025-02-03T19:34:58.739538,doctor-strange,pc,competitive,grandmaster and above,34.02,51.87
2025-02-03T19:34:58.739538,doctor-strange,pc,competitive,platinum,27.13,51.50
2025-02-03T19:34:58.739538,doctor-strange,pc,competitive,silver,17.63,50.45
2025-02-03T19:34:58.739538,doctor-strange,console,quickplay,all,12.52,49.05
2025-02-03T19:34:58.739538,doctor-strange,console,competitive,all,17.67,51.03
2025-02-03T19:34:58.739538,doctor-strange,console,competitive,bronze,12.81,49.94
2025-02-03T19:34:58.739538,doctor-strange,console,competitive,diamond,26.09,52.06
2025-02-03T19:34:58.739538,doctor-strange,console,competitive,gold,19.16,51.18
2025-02-03T19:34:58.739538,doctor-strange,console,competitive,grandmaster and above,29.32,52.04
2025-02-03T19:34:58.739538,doctor-strange,console,competitive,platinum,23.75,51.84
2025-02-03T19:34:58.739538,doctor-strange,console,competitive,silver,15.75,50.65
2025-02-04T02:12:20.772256,doctor-strange,pc,quickplay,all,12.52,49.05
2025-02-04T02:12:20.772256,doctor-strange,pc,competitive,all,19.29,50.79
2025-02-04T02:12:20.772256,doctor-strange,pc,competitive,bronze,13.38,49.82
2025-02-04T02:12:20.772256,doctor-strange,pc,competitive,diamond,30.15,51.82
2025-02-04T02:12:20.772256,doctor-strange,pc,competitive,gold,21.85,51.02
2025-02-04T02:12:20.772256,doctor-strange,pc,competitive,grandmaster and above,34.02,51.87
2025-02-04T02:12:20.772256,doctor-strange,pc,competitive,platinum,27.13,51.50
2025-02-04T02:12:20.772256,doctor-strange,pc,competitive,silver,17.63,50.45
2025-02-04T02:12:20.772256,doctor-strange,console,quickplay,all,12.52,49.05
2025-02-04T02:12:20.772256,doctor-strange,console,competitive,all,17.67,51.03
2025-02-04T02:12:20.772256,doctor-strange,console,competitive,bronze,12.81,49.94
2025-02-04T02:12:20.772256,doctor-strange,console,competitive,diamond,26.09,52.06
2025-02-04T02:12:20.772256,doctor-strange,console,competitive,gold,19.16,51.18
2025-02-04T02:12:20.772256,doctor-strange,console,competitive,grandmaster and above,29.32,52.04
2025-02-04T02:12:20.772256,doctor-strange,console,competitive,platinum,23.75,51.84
2025-02-04T02:12:20.772256,doctor-strange,console,competitive,silver,15.75,50.65
2025-02-05T02:13:34.466428,doctor-strange,pc,quickplay,all,12.52,49.05
2025-02-05T02:13:34.466428,doctor-strange,pc,competitive,all,19.29,50.79
2025-02-05T02:13:34.466428,doctor-strange,pc,competitive,bronze,13.38,49.82
2025-02-05T02:13:34.466428,doctor-strange,pc,competitive,diamond,30.15,51.82
2025-02-05T02:13:34.466428,doctor-strange,pc,competitive,gold,21.85,51.02
2025-02-05T02:13:34.466428,doctor-strange,pc,competitive,grandmaster and above,34.02,51.87
2025-02-05T02:13:34.466428,doctor-strange,pc,competitive,platinum,27.13,51.50
2025-02-05T02:13:34.466428,doctor-strange,pc,competitive,silver,17.63,50.45
2025-02-05T02:13:34.466428,doctor-strange,console,quickplay,all,12.52,49.05
2025-02-05T02:13:34.466428,doctor-strange,console,competitive,all,17.67,51.03
2025-02-05T02:13:34.466428,doctor-strange,console,competitive,bronze,12.81,49.94
2025-02-05T02:13:34.466428,doctor-strange,console,competitive,diamond,26.09,52.06
2025-02-05T02:13:34.466428,doctor-strange,console,competitive,gold,19.16,51.18
2025-02-05T02:13:34.466428,doctor-strange,console,competitive,grandmaster and above,29.32,52.04
2025-02-05T02:13:34.466428,doctor-strange,console,competitive,platinum,23.75,51.84
2025-02-05T02:13:34.466428,doctor-strange,console,competitive,silver,15.75,50.65
2025-02-06T02:13:59.224364,doctor-strange,pc,quickplay,all,12.52,49.05
2025-02-06T02:13:59.224364,doctor-strange,pc,competitive,all,19.29,50.79
2025-02-06T02:13:59.224364,doctor-strange,pc,competitive,bronze,13.38,49.82
2025-02-06T02:13:59.224364,doctor-strange,pc,competitive,diamond,30.15,51.82
2025-02-06T02:13:59.224364,doctor-strange,pc,competitive,gold,21.85,51.02
2025-02-06T02:13:59.224364,doctor-strange,pc,competitive,grandmaster and above,34.02,51.87
2025-02-06T02:13:59.224364,doctor-strange,pc,competitive,platinum,27.13,51.50
2025-02-06T02:13:59.224364,doctor-strange,pc,competitive,silver,17.63,50.45
2025-02-06T02:13:59.224364,doctor-strange,console,quickplay,all,12.52,49.05
2025-02-06T02:13:59.224364,doctor-strange,console,competitive,all,17.67,51.03
2025-02-06T02:13:59.224364,doctor-strange,console,competitive,bronze,12.81,49.94
2025-02-06T02:13:59.224364,doctor-strange,console,competitive,diamond,26.09,52.06
2025-02-06T02:13:59.224364,doctor-strange,console,competitive,gold,19.16,51.18
2025-02-06T02:13:59.224364,doctor-strange,console,competitive,grandmaster and above,29.32,52.04
2025-02-06T02:13:59.224364,doctor-strange,console,competitive,platinum,23.75,51.84
2025-02-06T02:13:59.224364,doctor-strange,console,competitive,silver,15.75,50.65
2025-02-07T02:14:42.489156,doctor-strange,pc,quickplay,all,12.52,49.05
2025-02-07T02:14:42.489156,doctor-strange,pc,competitive,all,19.29,50.79
2025-02-07T02:14:42.489156,doctor-strange,pc,competitive,bronze,13.38,49.82
2025-02-07T02:14:42.489156,doctor-strange,pc,competitive,diamond,30.15,51.82
2025-02-07T02:14:42.489156,doctor-strange,pc,competitive,gold,21.85,51.02
2025-02-07T02:14:42.489156,doctor-strange,pc,competitive,grandmaster and above,34.02,51.87
2025-02-07T02:14:42.489156,doctor-strange,pc,competitive,platinum,27.13,51.50
2025-02-07T02:14:42.489156,doctor-strange,pc,competitive,silver,17.63,50.45
2025-02-07T02:14:42.489156,doctor-strange,console,quickplay,all,12.52,49.05
2025-02-07T02:14:42.489156,doctor-strange,console,competitive,all,17.67,51.03
2025-02-07T02:14:42.489156,doctor-strange,console,competitive,bronze,12.81,49.94
2025-02-07T02:14:42.489156,doctor-strange,console,competitive,diamond,26.09,52.06
