timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:19.479799,groot,pc,quickplay,all,9.69,48.49
2025-02-03T19:35:19.479799,groot,pc,competitive,all,11.99,48.84
2025-02-03T19:35:19.479799,groot,pc,competitive,bronze,11.01,48.88
2025-02-03T19:35:19.479799,groot,pc,competitive,diamond,14.17,49.06
2025-02-03T19:35:19.479799,groot,pc,competitive,gold,12.44,48.77
2025-02-03T19:35:19.479799,groot,pc,competitive,grandmaster and above,13.02,49.17
2025-02-03T19:35:19.479799,groot,pc,competitive,platinum,13.15,48.89
2025-02-03T19:35:19.479799,groot,pc,competitive,silver,11.76,48.74
2025-02-03T19:35:19.479799,groot,console,quickplay,all,9.69,48.49
2025-02-03T19:35:19.479799,groot,console,competitive,all,10.64,47.80
2025-02-03T19:35:19.479799,groot,console,competitive,bronze,10.00,48.31
2025-02-03T19:35:19.479799,groot,console,competitive,diamond,12.55,47.80
2025-02-03T19:35:19.479799,groot,console,competitive,gold,10.69,47.52
2025-02-03T19:35:19.479799,groot,console,competitive,grandmaster and above,12.98,48.29
2025-02-03T19:35:19.479799,groot,console,competitive,platinum,11.20,47.49
2025-02-03T19:35:19.479799,groot,console,competitive,silver,10.37,47.64
2025-02-04T02:13:16.525197,groot,pc,quickplay,all,9.69,48.49
2025-02-04T02:13:16.525197,groot,pc,competitive,all,11.99,48.84
2025-02-04T02:13:16.525197,groot,pc,competitive,bronze,11.01,48.88
2025-02-04T02:13:16.525197,groot,pc,competitive,diamond,14.17,49.06
2025-02-04T02:13:16.525197,groot,pc,competitive,gold,12.44,48.77
2025-02-04T02:13:16.525197,groot,pc,competitive,grandmaster and above,13.02,49.17
2025-02-04T02:13:16.525197,groot,pc,competitive,platinum,13.15,48.89
2025-02-04T02:13:16.525197,groot,pc,competitive,silver,11.76,48.74
2025-02-04T02:13:16.525197,groot,console,quickplay,all,9.69,48.49
2025-02-04T02:13:16.525197,groot,console,competitive,all,10.64,47.80
2025-02-04T02:13:16.525197,groot,console,competitive,bronze,10.00,48.31
2025-02-04T02:13:16.525197,groot,console,competitive,diamond,12.55,47.80
2025-02-04T02:13:16.525197,groot,console,competitive,gold,10.69,47.52
2025-02-04T02:13:16.525197,groot,console,competitive,grandmaster and above,12.98,48.29
2025-02-04T02:13:16.525197,groot,console,competitive,platinum,11.20,47.49
2025-02-04T02:13:16.525197,groot,console,competitive,silver,10.37,47.64
2025-02-05T02:14:34.518880,groot,pc,quickplay,all,9.69,48.49
2025-02-05T02:14:34.518880,groot,pc,competitive,all,11.99,48.84
2025-02-05T02:14:34.518880,groot,pc,competitive,bronze,11.01,48.88
2025-02-05T02:14:34.518880,groot,pc,competitive,diamond,14.17,49.06
2025-02-05T02:14:34.518880,groot,pc,competitive,gold,12.44,48.77
2025-02-05T02:14:34.518880,groot,pc,competitive,grandmaster and above,13.02,49.17
2025-02-05T02:14:34.518880,groot,pc,competitive,platinum,13.15,48.89
2025-02-05T02:14:34.518880,groot,pc,competitive,silver,11.76,48.74
2025-02-05T02:14:34.518880,groot,console,quickplay,all,9.69,48.49
2025-02-05T02:14:34.518880,groot,console,competitive,all,10.64,47.80
2025-02-05T02:14:34.518880,groot,console,competitive,bronze,10.00,48.31
