timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-22T10:34:01.314173,invisible-woman,pc,quickplay,all,18.12,50.17
2025-02-22T10:34:01.314173,invisible-woman,pc,competitive,all,16.31,48.68
2025-02-22T10:34:01.314173,invisible-woman,pc,competitive,bronze,18.04,49.89
2025-02-22T10:34:01.314173,invisible-woman,pc,competitive,celestial and above,20.63,48.09
2025-02-22T10:34:01.314173,invisible-woman,pc,competitive,diamond,17.75,47.83
2025-02-22T10:34:01.314173,invisible-woman,pc,competitive,gold,15.19,48.46
2025-02-22T10:34:01.314173,invisible-woman,pc,competitive,grandmaster,20.98,48.00
2025-02-22T10:34:01.314173,invisible-woman,pc,competitive,platinum,14.50,48.25
2025-02-22T10:34:01.314173,invisible-woman,pc,competitive,silver,16.17,48.93
2025-02-22T10:34:01.314173,invisible-woman,console,quickplay,all,20.08,49.98
2025-02-22T10:34:01.314173,invisible-woman,console,competitive,all,19.22,48.80
2025-02-22T10:34:01.314173,invisible-woman,console,competitive,bronze,20.78,50.01
2025-02-22T10:34:01.314173,invisible-woman,console,competitive,celestial and above,22.73,48.32
2025-02-22T10:34:01.314173,invisible-woman,console,competitive,diamond,20.44,48.22
2025-02-22T10:34:01.314173,invisible-woman,console,competitive,gold,18.24,48.61
2025-02-22T10:34:01.314173,invisible-woman,console,competitive,grandmaster,23.05,48.34
2025-02-22T10:34:01.314173,invisible-woman,console,competitive,platinum,17.63,48.29
2025-02-22T10:34:01.314173,invisible-woman,console,competitive,silver,19.02,49.14
2025-02-23T02:24:23.138732,invisible-woman,pc,quickplay,all,18.12,50.17
2025-02-23T02:24:23.138732,invisible-woman,pc,competitive,all,16.31,48.68
2025-02-23T02:24:23.138732,invisible-woman,pc,competitive,bronze,18.04,49.89
2025-02-23T02:24:23.138732,invisible-woman,pc,competitive,celestial and above,20.63,48.09
2025-02-23T02:24:23.138732,invisible-woman,pc,competitive,diamond,17.75,47.83
2025-02-23T02:24:23.138732,invisible-woman,pc,competitive,gold,15.19,48.46
2025-02-23T02:24:23.138732,invisible-woman,pc,competitive,grandmaster,20.98,48.00
2025-02-23T02:24:23.138732,invisible-woman,pc,competitive,platinum,14.50,48.25
2025-02-23T02:24:23.138732,invisible-woman,pc,competitive,silver,16.17,48.93
2025-02-23T02:24:23.138732,invisible-woman,console,quickplay,all,20.08,49.98
2025-02-23T02:24:23.138732,invisible-woman,console,competitive,all,19.22,48.80
2025-02-23T02:24:23.138732,invisible-woman,console,competitive,bronze,20.78,50.01
2025-02-23T02:24:23.138732,invisible-woman,console,competitive,celestial and above,22.73,48.32
2025-02-23T02:24:23.138732,invisible-woman,console,competitive,diamond,20.44,48.22
2025-02-23T02:24:23.138732,invisible-woman,console,competitive,gold,18.24,48.61
2025-02-23T02:24:23.138732,invisible-woman,console,competitive,grandmaster,23.05,48.34
2025-02-23T02:24:23.138732,invisible-woman,console,competitive,platinum,17.63,48.29
2025-02-23T02:24:23.138732,invisible-woman,console,competitive,silver,19.02,49.14
