timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:00.945461,mantis,pc,quickplay,all,15.75,56.03
2025-02-03T19:35:00.945461,mantis,pc,competitive,all,19.77,55.20
2025-02-03T19:35:00.945461,mantis,pc,competitive,bronze,18.04,55.65
2025-02-03T19:35:00.945461,mantis,pc,competitive,diamond,23.67,53.92
2025-02-03T19:35:00.945461,mantis,pc,competitive,gold,20.23,55.23
2025-02-03T19:35:00.945461,mantis,pc,competitive,grandmaster and above,27.03,53.34
2025-02-03T19:35:00.945461,mantis,pc,competitive,platinum,21.34,54.81
2025-02-03T19:35:00.945461,mantis,pc,competitive,silver,19.70,55.28
2025-02-03T19:35:00.945461,mantis,console,quickplay,all,15.75,56.03
2025-02-03T19:35:00.945461,mantis,console,competitive,all,18.81,55.40
2025-02-03T19:35:00.945461,mantis,console,competitive,bronze,17.06,56.34
2025-02-03T19:35:00.945461,mantis,console,competitive,diamond,21.18,54.13
2025-02-03T19:35:00.945461,mantis,console,competitive,gold,19.50,55.09
2025-02-03T19:35:00.945461,mantis,console,competitive,grandmaster and above,22.85,53.95
2025-02-03T19:35:00.945461,mantis,console,competitive,platinum,19.95,54.66
2025-02-03T19:35:00.945461,mantis,console,competitive,silver,18.98,55.44
2025-02-04T02:12:28.093200,mantis,pc,quickplay,all,15.75,56.03
2025-02-04T02:12:28.093200,mantis,pc,competitive,all,19.77,55.20
2025-02-04T02:12:28.093200,mantis,pc,competitive,bronze,18.04,55.65
2025-02-04T02:12:28.093200,mantis,pc,competitive,diamond,23.67,53.92
2025-02-04T02:12:28.093200,mantis,pc,competitive,gold,20.23,55.23
2025-02-04T02:12:28.093200,mantis,pc,competitive,grandmaster and above,27.03,53.34
2025-02-04T02:12:28.093200,mantis,pc,competitive,platinum,21.34,54.81
2025-02-04T02:12:28.093200,mantis,pc,competitive,silver,19.70,55.28
2025-02-04T02:12:28.093200,mantis,console,quickplay,all,15.75,56.03
2025-02-04T02:12:28.093200,mantis,console,competitive,all,18.81,55.40
2025-02-04T02:12:28.093200,mantis,console,competitive,bronze,17.06,56.34
2025-02-04T02:12:28.093200,mantis,console,competitive,diamond,21.18,54.13
2025-02-04T02:12:28.093200,mantis,console,competitive,gold,19.50,55.09
2025-02-04T02:12:28.093200,mantis,console,competitive,grandmaster and above,22.85,53.95
2025-02-04T02:12:28.093200,mantis,console,competitive,platinum,19.95,54.66
2025-02-04T02:12:28.093200,mantis,console,competitive,silver,18.98,55.44
2025-02-05T02:13:40.818507,mantis,pc,quickplay,all,15.75,56.03
2025-02-05T02:13:40.818507,mantis,pc,competitive,all,19.77,55.20
2025-02-05T02:13:40.818507,mantis,pc,competitive,bronze,18.04,55.65
2025-02-05T02:13:40.818507,mantis,pc,competitive,diamond,23.67,53.92
2025-02-05T02:13:40.818507,mantis,pc,competitive,gold,20.23,55.23
2025-02-05T02:13:40.818507,mantis,pc,competitive,grandmaster and above,27.03,53.34
2025-02-05T02:13:40.818507,mantis,pc,competitive,platinum,21.34,54.81
2025-02-05T02:13:40.818507,mantis,pc,competitive,silver,19.70,55.28
2025-02-05T02:13:40.818507,mantis,console,quickplay,all,15.75,56.03
2025-02-05T02:13:40.818507,mantis,console,competitive,all,18.81,55.40
2025-02-05T02:13:40.818507,mantis,console,competitive,bronze,17.06,56.34
2025-02-05T02:13:40.818507,mantis,console,competitive,diamond,21.18,54.13
2025-02-05T02:13:40.818507,mantis,console,competitive,gold,19.50,55.09
2025-02-05T02:13:40.818507,mantis,console,competitive,grandmaster and above,22.85,53.95
2025-02-05T02:13:40.818507,mantis,console,competitive,platinum,19.95,54.66
2025-02-05T02:13:40.818507,mantis,console,competitive,silver,18.98,55.44
2025-02-06T02:14:06.449879,mantis,pc,quickplay,all,15.75,56.03
2025-02-06T02:14:06.449879,mantis,pc,competitive,all,19.77,55.20
2025-02-06T02:14:06.449879,mantis,pc,competitive,bronze,18.04,55.65
2025-02-06T02:14:06.449879,mantis,pc,competitive,diamond,23.67,53.92
2025-02-06T02:14:06.449879,mantis,pc,competitive,gold,20.23,55.23
2025-02-06T02:14:06.449879,mantis,pc,competitive,grandmaster and above,27.03,53.34
2025-02-06T02:14:06.449879,mantis,pc,competitive,platinum,21.34,54.81
2025-02-06T02:14:06.449879,mantis,pc,competitive,silver,19.70,55.28
2025-02-06T02:14:06.449879,mantis,console,quickplay,all,15.75,56.03
2025-02-06T02:14:06.449879,mantis,console,competitive,all,18.81,55.40
2025-02-06T02:14:06.449879,mantis,console,competitive,bronze,17.06,56.34
2025-02-06T02:14:06.449879,mantis,console,competitive,diamond,21.18,54.13
2025-02-06T02:14:06.449879,mantis,console,competitive,gold,19.50,55.09
2025-02-06T02:14:06.449879,mantis,console,competitive,grandmaster and above,22.85,53.95
2025-02-06T02:14:06.449879,mantis,console,competitive,platinum,19.95,54.66
2025-02-06T02:14:06.449879,mantis,console,competitive,silver,18.98,55.44
