timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:42.203585,spider-man,pc,quickplay,all,6.56,48.47
2025-02-03T19:35:42.203585,spider-man,pc,competitive,all,4.70,50.48
2025-02-03T19:35:42.203585,spider-man,pc,competitive,bronze,5.01,50.61
2025-02-03T19:35:42.203585,spider-man,pc,competitive,diamond,3.25,49.89
2025-02-03T19:35:42.203585,spider-man,pc,competitive,gold,4.79,50.51
2025-02-03T19:35:42.203585,spider-man,pc,competitive,grandmaster and above,2.47,49.13
2025-02-03T19:35:42.203585,spider-man,pc,competitive,platinum,4.04,50.17
2025-02-03T19:35:42.203585,spider-man,pc,competitive,silver,4.82,50.49
2025-02-03T19:35:42.203585,spider-man,console,quickplay,all,6.56,48.47
2025-02-03T19:35:42.203585,spider-man,console,competitive,all,5.42,50.42
2025-02-03T19:35:42.203585,spider-man,console,competitive,bronze,5.53,50.25
2025-02-03T19:35:42.203585,spider-man,console,competitive,diamond,4.36,50.58
2025-02-03T19:35:42.203585,spider-man,console,competitive,gold,5.75,50.53
2025-02-03T19:35:42.203585,spider-man,console,competitive,grandmaster and above,3.58,49.81
2025-02-03T19:35:42.203585,spider-man,console,competitive,platinum,5.04,50.56
2025-02-03T19:35:42.203585,spider-man,console,competitive,silver,5.51,50.50
2025-02-04T02:14:16.129109,spider-man,pc,quickplay,all,6.56,48.47
2025-02-04T02:14:16.129109,spider-man,pc,competitive,all,4.70,50.48
2025-02-04T02:14:16.129109,spider-man,pc,competitive,bronze,5.01,50.61
2025-02-04T02:14:16.129109,spider-man,pc,competitive,diamond,3.25,49.89
2025-02-04T02:14:16.129109,spider-man,pc,competitive,gold,4.79,50.51
2025-02-04T02:14:16.129109,spider-man,pc,competitive,grandmaster and above,2.47,49.13
2025-02-04T02:14:16.129109,spider-man,pc,competitive,platinum,4.04,50.17
2025-02-04T02:14:16.129109,spider-man,pc,competitive,silver,4.82,50.49
2025-02-04T02:14:16.129109,spider-man,console,quickplay,all,6.56,48.47
2025-02-04T02:14:16.129109,spider-man,console,competitive,all,5.42,50.42
2025-02-04T02:14:16.129109,spider-man,console,competitive,bronze,5.53,50.25
2025-02-04T02:14:16.129109,spider-man,console,competitive,diamond,4.36,50.58
2025-02-04T02:14:16.129109,spider-man,console,competitive,gold,5.75,50.53
2025-02-04T02:14:16.129109,spider-man,console,competitive,grandmaster and above,3.58,49.81
2025-02-04T02:14:16.129109,spider-man,console,competitive,platinum,5.04,50.56
2025-02-04T02:14:16.129109,spider-man,console,competitive,silver,5.51,50.50
2025-02-05T02:15:36.406140,spider-man,pc,quickplay,all,6.56,48.47
2025-02-05T02:15:36.406140,spider-man,pc,competitive,all,4.70,50.48
2025-02-05T02:15:36.406140,spider-man,pc,competitive,bronze,5.01,50.61
