timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:52.980433,thor,pc,quickplay,all,13.36,53.26
2025-02-03T19:35:52.980433,thor,pc,competitive,all,12.52,52.65
2025-02-03T19:35:52.980433,thor,pc,competitive,bronze,12.74,53.03
2025-02-03T19:35:52.980433,thor,pc,competitive,diamond,10.62,50.94
2025-02-03T19:35:52.980433,thor,pc,competitive,gold,12.87,52.62
2025-02-03T19:35:52.980433,thor,pc,competitive,grandmaster and above,7.69,49.59
2025-02-03T19:35:52.980433,thor,pc,competitive,platinum,12.24,52.21
2025-02-03T19:35:52.980433,thor,pc,competitive,silver,12.78,52.83
2025-02-03T19:35:52.980433,thor,console,quickplay,all,13.36,53.26
2025-02-03T19:35:52.980433,thor,console,competitive,all,12.52,52.18
2025-02-03T19:35:52.980433,thor,console,competitive,bronze,12.56,52.63
2025-02-03T19:35:52.980433,thor,console,competitive,diamond,12.20,51.05
2025-02-03T19:35:52.980433,thor,console,competitive,gold,12.66,52.19
2025-02-03T19:35:52.980433,thor,console,competitive,grandmaster and above,11.32,50.19
2025-02-03T19:35:52.980433,thor,console,competitive,platinum,12.39,51.83
2025-02-03T19:35:52.980433,thor,console,competitive,silver,12.58,52.27
2025-02-04T02:14:40.891514,thor,pc,quickplay,all,13.36,53.26
2025-02-04T02:14:40.891514,thor,pc,competitive,all,12.52,52.65
2025-02-04T02:14:40.891514,thor,pc,competitive,bronze,12.74,53.03
2025-02-04T02:14:40.891514,thor,pc,competitive,diamond,10.62,50.94
2025-02-04T02:14:40.891514,thor,pc,competitive,gold,12.87,52.62
2025-02-04T02:14:40.891514,thor,pc,competitive,grandmaster and above,7.69,49.59
2025-02-04T02:14:40.891514,thor,pc,competitive,platinum,12.24,52.21
2025-02-04T02:14:40.891514,thor,pc,competitive,silver,12.78,52.83
2025-02-04T02:14:40.891514,thor,console,quickplay,all,13.36,53.26
2025-02-04T02:14:40.891514,thor,console,competitive,all,12.52,52.18
2025-02-04T02:14:40.891514,thor,console,competitive,bronze,12.56,52.63
2025-02-04T02:14:40.891514,thor,console,competitive,diamond,12.20,51.05
2025-02-04T02:14:40.891514,thor,console,competitive,gold,12.66,52.19
2025-02-04T02:14:40.891514,thor,console,competitive,grandmaster and above,11.32,50.19
2025-02-04T02:14:40.891514,thor,console,competitive,platinum,12.39,51.83
2025-02-04T02:14:40.891514,thor,console,competitive,silver,12.58,52.27
2025-02-05T02:16:03.308777,thor,pc,quickplay,all,13.36,53.26
2025-02-05T02:16:03.308777,thor,pc,competitive,all,12.52,52.65
2025-02-05T02:16:03.308777,thor,pc,competitive,bronze,12.74,53.03
2025-02-05T02:16:03.308777,thor,pc,competitive,diamond,10.62,50.94
2025-02-05T02:16:03.308777,thor,pc,competitive,gold,12.87,52.62
2025-02-05T02:16:03.308777,thor,pc,competitive,grandmaster and above,7.69,49.59
2025-02-05T02:16:03.308777,thor,pc,competitive,platinum,12.24,52.21
2025-02-05T02:16:03.308777,thor,pc,competitive,silver,12.78,52.83
2025-02-05T02:16:03.308777,thor,console,quickplay,all,13.36,53.26
2025-02-05T02:16:03.308777,thor,console,competitive,all,12.52,52.18
2025-02-05T02:16:03.308777,thor,console,competitive,bronze,12.56,52.63
2025-02-05T02:16:03.308777,thor,console,competitive,diamond,12.20,51.05
2025-02-05T02:16:03.308777,thor,console,competitive,gold,12.66,52.19
2025-02-05T02:16:03.308777,thor,console,competitive,grandmaster and above,11.32,50.19
