timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:59.077755,winter-soldier,pc,quickplay,all,6.78,47.26
2025-02-03T19:35:59.077755,winter-soldier,pc,competitive,all,6.49,47.97
2025-02-03T19:35:59.077755,winter-soldier,pc,competitive,bronze,5.89,48.96
2025-02-03T19:35:59.077755,winter-soldier,pc,competitive,diamond,9.41,46.23
2025-02-03T19:35:59.077755,winter-soldier,pc,competitive,gold,6.63,47.40
2025-02-03T19:35:59.077755,winter-soldier,pc,competitive,grandmaster and above,10.27,45.21
2025-02-03T19:35:59.077755,winter-soldier,pc,competitive,platinum,7.08,46.70
2025-02-03T19:35:59.077755,winter-soldier,pc,competitive,silver,6.27,48.29
2025-02-03T19:35:59.077755,winter-soldier,console,quickplay,all,6.78,47.26
2025-02-03T19:35:59.077755,winter-soldier,console,competitive,all,6.82,48.50
2025-02-03T19:35:59.077755,winter-soldier,console,competitive,bronze,6.59,48.86
2025-02-03T19:35:59.077755,winter-soldier,console,competitive,diamond,8.96,47.25
2025-02-03T19:35:59.077755,winter-soldier,console,competitive,gold,6.68,48.45
2025-02-03T19:35:59.077755,winter-soldier,console,competitive,grandmaster and above,10.77,46.32
2025-02-03T19:35:59.077755,winter-soldier,console,competitive,platinum,7.11,48.06
2025-02-03T19:35:59.077755,winter-soldier,console,competitive,silver,6.51,48.72
2025-02-04T02:15:00.231398,winter-soldier,pc,quickplay,all,6.78,47.26
2025-02-04T02:15:00.231398,winter-soldier,pc,competitive,all,6.49,47.97
2025-02-04T02:15:00.231398,winter-soldier,pc,competitive,bronze,5.89,48.96
2025-02-04T02:15:00.231398,winter-soldier,pc,competitive,diamond,9.41,46.23
2025-02-04T02:15:00.231398,winter-soldier,pc,competitive,gold,6.63,47.40
2025-02-04T02:15:00.231398,winter-soldier,pc,competitive,grandmaster and above,10.27,45.21
2025-02-04T02:15:00.231398,winter-soldier,pc,competitive,platinum,7.08,46.70
2025-02-04T02:15:00.231398,winter-soldier,pc,competitive,silver,6.27,48.29
2025-02-04T02:15:00.231398,winter-soldier,console,quickplay,all,6.78,47.26
2025-02-04T02:15:00.231398,winter-soldier,console,competitive,all,6.82,48.50
2025-02-04T02:15:00.231398,winter-soldier,console,competitive,bronze,6.59,48.86
