timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:25:42.812364,adam-warlock,pc,quickplay,all,9.06,54.42
2025-02-03T19:25:42.812364,adam-warlock,pc,competitive,all,7.45,53.59
2025-02-03T19:25:42.812364,adam-warlock,pc,competitive,bronze,8.24,53.71
2025-02-03T19:25:42.812364,adam-warlock,pc,competitive,diamond,6.34,52.44
2025-02-03T19:25:42.812364,adam-warlock,pc,competitive,gold,6.97,53.64
2025-02-03T19:25:42.812364,adam-warlock,pc,competitive,grandmaster and above,8.09,53.42
2025-02-03T19:25:42.812364,adam-warlock,pc,competitive,platinum,6.16,53.01
2025-02-03T19:25:42.812364,adam-warlock,pc,competitive,silver,7.55,53.77
2025-02-03T19:25:42.812364,adam-warlock,console,quickplay,all,9.06,54.42
2025-02-03T19:25:42.812364,adam-warlock,console,competitive,all,8.10,53.34
2025-02-03T19:25:42.812364,adam-warlock,console,competitive,bronze,9.05,53.72
2025-02-03T19:25:42.812364,adam-warlock,console,competitive,diamond,6.25,51.71
2025-02-03T19:25:42.812364,adam-warlock,console,competitive,gold,7.71,53.31
2025-02-03T19:25:42.812364,adam-warlock,console,competitive,grandmaster and above,5.74,51.67
2025-02-03T19:25:42.812364,adam-warlock,console,competitive,platinum,6.75,52.82
2025-02-03T19:25:42.812364,adam-warlock,console,competitive,silver,8.45,53.44
