timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:25:13.721674,scarlet-witch,pc,quickplay,all,7.44,49.83
2025-02-03T19:25:13.721674,scarlet-witch,pc,competitive,all,6.25,46.97
2025-02-03T19:25:13.721674,scarlet-witch,pc,competitive,bronze,8.51,47.74
2025-02-03T19:25:13.721674,scarlet-witch,pc,competitive,diamond,1.36,44.26
2025-02-03T19:25:13.721674,scarlet-witch,pc,competitive,gold,4.65,45.71
2025-02-03T19:25:13.721674,scarlet-witch,pc,competitive,grandmaster and above,0.69,43.02
2025-02-03T19:25:13.721674,scarlet-witch,pc,competitive,platinum,2.59,44.72
2025-02-03T19:25:13.721674,scarlet-witch,pc,competitive,silver,6.78,46.71
2025-02-03T19:25:13.721674,scarlet-witch,console,quickplay,all,7.44,49.83
2025-02-03T19:25:13.721674,scarlet-witch,console,competitive,all,8.69,48.91
2025-02-03T19:25:13.721674,scarlet-witch,console,competitive,bronze,9.51,49.85
2025-02-03T19:25:13.721674,scarlet-witch,console,competitive,diamond,4.30,46.09
2025-02-03T19:25:13.721674,scarlet-witch,console,competitive,gold,8.58,48.17
2025-02-03T19:25:13.721674,scarlet-witch,console,competitive,grandmaster and above,2.50,45.22
2025-02-03T19:25:13.721674,scarlet-witch,console,competitive,platinum,6.51,47.11
2025-02-03T19:25:13.721674,scarlet-witch,console,competitive,silver,9.64,48.92
