timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:25:01.336786,venom,pc,quickplay,all,19.09,49.20
2025-02-03T19:25:01.336786,venom,pc,competitive,all,14.65,47.56
2025-02-03T19:25:01.336786,venom,pc,competitive,bronze,19.10,48.40
2025-02-03T19:25:01.336786,venom,pc,competitive,diamond,7.08,45.38
2025-02-03T19:25:01.336786,venom,pc,competitive,gold,12.56,46.93
2025-02-03T19:25:01.336786,venom,pc,competitive,grandmaster and above,4.56,45.29
2025-02-03T19:25:01.336786,venom,pc,competitive,platinum,9.69,46.25
2025-02-03T19:25:01.336786,venom,pc,competitive,silver,15.45,47.40
2025-02-03T19:25:01.336786,venom,console,quickplay,all,19.09,49.20
2025-02-03T19:25:01.336786,venom,console,competitive,all,12.82,47.42
2025-02-03T19:25:01.336786,venom,console,competitive,bronze,17.33,48.45
2025-02-03T19:25:01.336786,venom,console,competitive,diamond,6.63,45.17
2025-02-03T19:25:01.336786,venom,console,competitive,gold,11.02,46.68
2025-02-03T19:25:01.336786,venom,console,competitive,grandmaster and above,5.19,45.44
2025-02-03T19:25:01.336786,venom,console,competitive,platinum,8.52,45.90
2025-02-03T19:25:01.336786,venom,console,competitive,silver,13.66,47.31
