timestamp,from_level,to_level,old_score,new_score
1736713325,4,3,3278,3262
1738323069,13,14,4293,4318
1737992280,11,12,4082,4113
1738333710,14,13,4276,4251
1736678741,3,4,3269,3302
1737988993,10,11,3991,4019
1736618939,3,4,3281,3302
1737908456,9,10,3868,3901
1738071957,13,14,4277,4304
1737148858,6,7,3597,3633
1737208317,7,8,3674,3704
1736973290,5,6,3476,3509
1736540621,1,2,3072,3109
1737644481,9,10,3875,3905
1738581689,13,14,4297,4321
1738241104,14,13,4287,4268
1736698856,4,3,3284,3259
1736953899,4,5,3398,3439
1737213825,7,8,3693,3730
1737138837,6,7,3580,3610
1737044852,6,7,3595,3634
1736700673,3,4,3293,3328
1737641725,10,9,3883,3862
1737133808,7,6,3573,3551
1736623876,4,3,3273,3254
1737232278,8,9,3790,3814
1736545441,2,1,3089,3067
1736546033,1,2,3066,3128
1736608193,2,3,3164,3202
1737211580,8,7,3685,3661
1737810209,10,9,3884,3863
1738068377,12,13,4187,4221
1737816925,10,9,3887,3869
1737811625,9,10,3897,3936
1737986622,9,10,3900,3930
1737910627,10,9,3886,3867
1736882575,3,4,3297,3319
1737146257,7,6,3592,3566
1737391863,9,10,3874,3909
1736713325,4,3,3278,3262
1738323069,13,14,4293,4318
1737992280,11,12,4082,4113
1736678741,3,4,3269,3302
1738333710,14,13,4276,4251
1737988993,10,11,3991,4019
1736618939,3,4,3281,3302
1737908456,9,10,3868,3901
1738071957,13,14,4277,4304
1737208317,7,8,3674,3704
1737146257,7,6,3592,3566
1736973290,5,6,3476,3509
1736540621,1,2,3072,3109
1737644481,9,10,3875,3905
1738581689,13,14,4297,4321
1738241104,14,13,4287,4268
1736698856,4,3,3284,3259
1736953899,4,5,3398,3439
1737213825,7,8,3693,3730
1736700673,3,4,3293,3328
1737044852,6,7,3595,3634
1737641725,10,9,3883,3862
1737133808,7,6,3573,3551
1736623876,4,3,3273,3254
1737232278,8,9,3790,3814
1736545441,2,1,3089,3067
1736546033,1,2,3066,3128
1736608193,2,3,3164,3202
1737211580,8,7,3685,3661
1737810209,10,9,3884,3863
1738068377,12,13,4187,4221
1737816925,10,9,3887,3869
1737811625,9,10,3897,3936
1737986622,9,10,3900,3930
1737148858,6,7,3597,3633
1736882575,3,4,3297,3319
1737138837,6,7,3580,3610
1737910627,10,9,3886,3867
1737391863,9,10,3874,3909
1738843775,14,13,4284,4265
1740651254,16,17,4594,4617
