match_uid,map_id,duration,season,winner_side,mvp_uid,svp_uid,timestamp,play_mode_id,game_mode_id,score_team_0,score_team_1,player_uid,hero_id,kills,deaths,assists,is_win,has_escaped,camp,score_change,level,new_level,new_score
6711553_1738582633_88_11001_50,1230,13m 45s,2,0,2064328969,261498396,1738583729,0,2,3,1,258927695,1037,14,12,0,0,False,1,-21.631767677437892,14,14,4326.622759579267
6711320_1738581790_39_11001_50,1236,8m 10s,2,1,427168746,633029702,1738582520,0,2,0,2,258927695,1025,11,4,19,1,False,1,26.9884538151573,14,14,4348.254527256705
6711554_1738580985_67_11001_50,1236,7m 51s,2,0,2015972226,414622344,1738581689,0,2,2,0,258927695,1027,21,6,0,1,False,0,23.737431656380977,13,14,4321.266073441548
6711565_1738580132_14_11001_50,1288,8m 54s,2,1,1233652742,122141737,1738580892,0,2,0,2,258927695,1045,12,4,0,1,False,1,20.961435431893733,13,13,4297.528641785167
6711307_1738579448_62_11001_50,1288,6m 19s,2,0,1828429622,470907908,1738580073,0,2,2,0,258927695,1025,9,2,12,1,False,0,25.12184311729743,13,13,4276.567206353273
6711523_1738578761_69_11001_50,1170,7m 47s,2,0,1299128758,903931566,1738579387,0,1,2,0,258927695,1041,8,9,1,0,False,1,-25.029000792252646,1,1,3501.9451536893416
6711385_1738528711_365_11001_50,1170,6m 44s,2,0,1332501335,1988367926,1738529275,0,1,2,0,258927695,1049,12,3,0,1,False,0,32.27175074958177,1,1,3526.9741544815943
6711480_1738527924_817_11001_50,1287,9m 50s,2,1,873754803,258927695,1738528683,0,1,0,2,258927695,1030,14,8,0,0,False,0,-22.979307428989614,1,1,3494.7024037320125
6711535_1738527258_631_11001_50,1032,8m 47s,2,0,623352749,990430260,1738527879,0,1,0,0,258927695,1016,20,4,15,1,False,0,22.459758979014623,1,1,3517.681711161002
6711419_1738526539_101_11001_50,1235,8m 47s,2,0,623352749,1532930914,1738527233,0,1,2,0,258927695,1039,14,6,0,1,False,0,34.03065992582788,1,1,3495.2219521819875
6711609_1738525882_1478_11001_50,1034,8m 48s,2,1,1329343961,516841807,1738526503,0,1,0,0,258927695,1030,18,9,0,0,False,0,-36.657216504055214,1,1,3461.1912922561596
6711655_1738525421_241_11001_50,1240,5m 41s,2,0,135120882,378352452,1738525852,0,1,0,0,258927695,1030,3,5,0,0,False,1,-40.004390907658035,1,1,3497.848508760215
6713295_1738524431_792_11001_50,1101,10m 25s,2,0,154703087,1837397649,1738525150,0,1,0,0,258927695,1026,16,9,0,1,False,0,13.006547261630658,1,1,3537.852899667873
5664929_1738524021_14_11001_50,1101,4m 51s,2,0,639281377,258927695,1738524404,0,1,0,0,258927695,1029,4,6,0,0,False,1,-38.47804475632438,1,1,3524.846352406242
6713319_1738523075_555_11001_50,1170,11m 32s,2,1,258927695,1159801673,1738523987,0,1,1,2,258927695,1039,24,6,0,1,False,1,23.29171399084362,1,1,3563.3243971625666
6711363_1738513882_16_11001_50,1101,5m 26s,2,0,1788215993,137244798,1738514298,0,1,0,0,258927695,1016,5,4,11,1,False,0,19.193895224531843,1,1,3540.032683171723
6712168_1738513476_308_11001_50,1201,4m 33s,2,0,1445687296,1040997345,1738513847,0,1,0,0,258927695,1016,2,5,1,0,False,1,-30.269073580437635,1,1,3520.838787947191
6711651_1738512777_143_11001_50,1240,9m 50s,2,0,396741350,575815153,1738513457,0,1,0,0,258927695,1016,18,5,20,1,False,0,29.46922122517617,1,1,3551.1078615276288
5664871_1738512027_197_11001_50,1170,9m 18s,2,0,1411947069,75557913,1738512745,0,1,2,0,258927695,1039,15,6,0,1,False,0,28.134473880925725,1,1,3521.6386403024526
6711586_1738511266_240_11001_50,1235,9m 34s,2,1,2124055390,989550650,1738512000,0,1,0,2,258927695,1039,18,7,1,1,False,1,23.663188272066236,1,1,3493.504166421527
